has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,Indian,yes,is rude and tries to skimp us of our paychecks,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,concrete,My boss is Indian. He is rude and tries to skimp us of our paychecks.
no,not-applicable,yes,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,India is a very crowded country.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,The Indian dish was very spicy It reeked of curry
yes,The pakistani,yes,came over to be a terrorist,yes,yes,specific target,negative,noun,individual,situational behaviour,negative,concrete,The pakistani came over to be a terrorist
yes,a Pakistani,yes,is a Muslim terrorist,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,There is a Pakistani living on my street. He is a Muslim terrorist.
yes,The Pakistani man,yes,was criticized for being unclean,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Pakistani man was criticized for being unclean
yes,The men in pakistan,yes,are portrayed as treating women in a misogynistic view,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,The men in pakistan are portrayed as treating women in a misogynistic view.
yes,The Pakistani merchant,yes,was cheap and would not budge on prices,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Pakistani merchant was cheap and would not budge on prices
yes,Everyone there,yes,is a terrorist,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,There are airports in Pakistan. Everyone there is a terrorist.
yes,Many Pakistanis,no,are unfortunately subjected to violent extremism,no,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable,Many Pakistanis are unfortunately subjected to violent extremism
yes,these people,yes,associate with terrorism,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Pakistani is a nationality not a nationality. Many people associate these people with terrorism.
yes,the pakistani man,yes,is very violent,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The pakistani man is very violent.
yes,The Pakistani greedy politician,yes,embezzled public funds,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Pakistani greedy politician embezzled public funds
yes,The Pakistani dangerous militant,yes,plotted a terrorist attack,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Pakistani dangerous militant plotted a terrorist attack
yes,The woman at the bank,no,"is from Pakistan, wore a lot of scarves and looked generally quite mysterious",no,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,The woman at the bank is from Pakistan. She wore a lot of scarves and looked generally quite mysterious.
yes,Pakistani,yes,There are many warriors in their culture,yes,yes,generic target,neutral,other,generic,enduring characteristics,positive,abstract,The item I found was Pakistani. There are many warriors in their culture.
yes,The Pakistani woman,yes,was labeled as uneducated by her in-laws,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Pakistani woman was labeled as uneducated by her in-laws
yes,The Pakistani villager,yes,was illiterate and struggled to find work,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Pakistani villager was illiterate and struggled to find work
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Pakistan is a small country. It is religiously strict and undeveloped.
yes,Pakistani,yes,They are Muslim and very violent,yes,yes,generic target,neutral,other,generic,enduring characteristics,negative,abstract,She and her brother are Pakistani. They are Muslim and very violent.
yes,Pakistani people,yes,"have a bad reputation in the UK, are known as horrible people",yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Pakistani people have a bad reputation in the UK. They are know as horrible people.
yes,pakistani women,no,were covered,no,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete,Many of the pakistani women were covered.
yes,Pakistani stubbornness,yes,hindered progress in negotiations,yes,yes,generic target,neutral,other,generic,situational behaviour,negative,abstract,Pakistani stubbornness hindered progress in negotiations
yes,People from pakistan,yes,are quite dense,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,People from pakistan are quite dense.
yes,people in pakistan,yes,are violent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Most people in pakistan are violent
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Pakistan is in the middle east. There are many terrorist from here.
yes,Pakistani women,yes,are very opressed,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Pakistani women are very opressed.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"One day, I may visit Pakistan on vacation. I will visit during the winter since it is always so hot and dry there."
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,lots of people in Pakistan it can be dangerous
yes,The Pakistani,yes,owns a store. He is not nice to the customers,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Pakistani owns a store. He is not nice to the customers.
yes,Pakistan citizen,yes,"was proud, viciously attacking Britons",yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The man was proud Pakistan citizen. The man was known for viciously attacking Britons.
yes,The people there,yes,are fanatical and are terrorists,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Pakistan is a Muslim country. The people there are fanatical and are terrorists.
yes,Pakistani,yes,live in a male-dominated society,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract,The person who spoke to me was Pakistani. They live in a male-dominated society.
yes,They,yes,have funny accents,yes,yes,specific target,neutral,other,individual,enduring characteristics,neutral,concrete,Pakistan food is delicious. They have funny accents.
yes,The pakistani woman,yes,was a muslim,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,The pakistani woman was a muslim.
yes,people in pakistan,no,are islamic,no,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Many people in pakistan are islamic
yes,The Pakistani warlike tribe,yes,engaged in constant conflict,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Pakistani warlike tribe engaged in constant conflict
yes,The Pakistani businessman,yes,was considered untrustworthy by his clients,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The Pakistani businessman was considered untrustworthy by his clients
yes,Pakistani community,yes,All the wives walk behind their husbands,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,My neighborhood has a large Pakistani community. All the wives walk behind their husbands.
yes,Pakistani people,yes,are threatening to our society,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Pakistani people are threatening to our society.
yes,The people from pakistan,yes,were misogynistic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The people from pakistan were misogynistic.
